Name;Currency;Ask;Open;PreviousClose;PercentChange;PriceBook;Change;DaysHigh;DaysLow;EarningsShare;AfterHoursChangeRealtime;AnnualizedGain;Ask;AskRealtime;AverageDailyVolume;Bid;BidRealtime;BookValue;Change;ChangeFromFiftydayMovingAverage;ChangeFromTwoHundreddayMovingAverage;ChangeFromYearHigh;ChangeFromYearLow;ChangePercentRealtime;ChangeRealtime;Change_PercentChange;ChangeinPercent;Commission;Currency;DaysHigh;DaysLow;DaysRange;DaysRangeRealtime;DaysValueChange;DaysValueChangeRealtime;DividendPayDate;DividendShare;DividendYield;EBITDA;EPSEstimateCurrentYear;EPSEstimateNextQuarter;EPSEstimateNextYear;EarningsShare;ErrorIndicationreturnedforsymbolchangedinvalid;ExDividendDate;FiftydayMovingAverage;HighLimit;HoldingsGain;HoldingsGainPercent;HoldingsGainPercentRealtime;HoldingsGainRealtime;HoldingsValue;HoldingsValueRealtime;LastTradeDate;LastTradePriceOnly;LastTradeRealtimeWithTime;LastTradeTime;LastTradeWithTime;LowLimit;MarketCapRealtime;MarketCapitalization;MoreInfo;Name;Notes;OneyrTargetPrice;Open;OrderBookRealtime;PEGRatio;PERatio;PERatioRealtime;PercebtChangeFromYearHigh;PercentChange;PercentChangeFromFiftydayMovingAverage;PercentChangeFromTwoHundreddayMovingAverage;PercentChangeFromYearLow;PreviousClose;PriceBook;PriceEPSEstimateCurrentYear;PriceEPSEstimateNextYear;PricePaid;PriceSales;SharesOwned;ShortRatio;StockExchange;Symbol;TickerTrend;TradeDate;TwoHundreddayMovingAverage;Volume;YearHigh;YearLow;YearRange;symbol
3I INFRASTRUCTURE PLC ORD NPV;GBp;197.60;197.20;197.50;+0.00%;116.86;+0.00;197.59;197.10;14.90;;;197.60;;11259;197.40;;1.69;+0.00;195.80;195.81;-11.00;15.00;;;+0.00 - +0.00%;+0.00%;;GBp;197.59;197.10;197.10 - 197.59;;;;;;;0.00;20.02;0.00;;14.90;;;1.70;;;;;;;;11/1/2017;197.50;;2:57pm;2:57pm - <b>197.50</b>;;;2.03B;;3I INFRASTRUCTURE PLC ORD NPV;;;197.20;;0.00;13.26;;-5.28%;+0.00%;+11546.15%;+11613.35%;+8.22%;197.50;116.86;9.87;11.70;;872.39;;0.00;LSE;3IN.L;;;1.69;300907;208.50;182.50;182.50 - 208.50;3IN.L
INVESTEC INVESTMENT TRUST PLC 3;GBP;;60.00;60.00;+0.00%;;+0.00;60.00;60.00;;;;;;187;;;0.00;+0.00;-6465.00;-6096.38;-6465.00;0.00;;;+0.00 - +0.00%;+0.00%;;GBP;60.00;60.00;60.00 - 60.00;;;;;;;0.00;;0.00;;;;11/3/2016;6525.00;;;;;;;;8/4/2016;60.00;;2:00pm;2:00pm - <b>60.00</b>;;;78.00M;;INVESTEC INVESTMENT TRUST PLC 3;;;60.00;;0.00;;;-99.08%;+0.00%;-99.08%;-99.03%;+0.00%;60.00;;;;;;;0.00;LSE;46HA.L;;;6156.38;1000;6525.00;60.00;60.00 - 6525.00;46HA.L
CPP GROUP PLC;EUR;0.159;0.124;0.126;-1.587%;6.300;-0.002;0.124;0.124;0.001;;;0.159;;;0.132;;0.020;-0.002;0.008;-0.018;-0.057;0.075;;;-0.002 - -1.587%;-1.587%;;EUR;0.124;0.124;0.124 - 0.124;;;;;;;10.84M;;0.000;;0.001;;9/14/2011;0.116;;;;;;;;11/1/2017;0.124;;8:16am;8:16am - <b>0.124</b>;;;106.20M;;CPP GROUP PLC;;;0.124;;0.000;124.000;;-31.492%;-1.587%;+6.739%;-12.387%;+153.061%;0.126;6.300;;;;1.024;;0.000;FRA;4CV.F;;;0.142;1000;0.181;0.049;0.049 - 0.181;4CV.F
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;582.HK;;;;;;;;582.HK
INDUS GAS LTD  LS -,01;EUR;4.431;4.202;4.199;+0.667%;5.948;+0.028;4.227;4.202;0.139;;;4.431;;;4.221;;0.706;+0.028;-0.148;-0.173;-0.915;1.144;;;+0.028 - +0.667%;+0.667%;;EUR;4.227;4.202;4.202 - 4.227;;;;;;;36.36M;0.210;0.000;;0.139;;;4.375;;;;;;;;11/1/2017;4.227;;9:50am;9:50am - <b>4.227</b>;;;773.43M;;INDUS GAS LTD  LS -,01;;;4.202;;0.000;30.410;;-17.795%;+0.667%;-3.382%;-3.931%;+37.107%;4.199;5.948;;;;19.663;;0.000;FRA;59Q.F;;;4.400;300;5.142;3.083;3.083 - 5.142;59Q.F
PRAIRIE MINING LTD.;EUR;0.362;0.350;0.357;-0.280%;5.950;-0.001;0.356;0.350;-0.060;;;0.362;;43432;0.352;;0.060;-0.001;-0.025;0.002;-0.138;0.134;;;-0.001 - -0.280%;-0.280%;;EUR;0.356;0.350;0.350 - 0.356;;;;;;;-5.58M;;0.000;;-0.060;;;0.381;;;;;;;;11/1/2017;0.356;;4:06pm;4:06pm - <b>0.356</b>;;;59.63M;;PRAIRIE MINING LTD.;;;0.350;;0.000;;;-27.935%;-0.280%;-6.526%;+0.571%;+60.360%;0.357;5.950;;;;58.188;;0.000;FRA;5PM.F;;;0.354;44300;0.494;0.222;0.222 - 0.494;5PM.F
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;603901.SS;;;;;;;;603901.SS
BB Healthcare Trust PLC Red. Re;EUR;1.384;1.265;1.246;+1.525%;;+0.019;1.265;1.265;;;;1.384;;;1.254;;0.000;+0.019;1.265;1.265;0.000;0.000;;;+0.019 - +1.525%;+1.525%;;EUR;1.265;1.265;1.265 - 1.265;;;;;;;0.00;;0.000;;;;;0.000;;;;;;;;11/1/2017;1.265;;8:38am;8:38am - <b>1.265</b>;;;;;BB Healthcare Trust PLC Red. Re;;;1.265;;0.000;;;+0.000%;+1.525%;+inf%;+inf%;+0.000%;1.246;;;;;;;0.000;STU;67B.SG;;;0.000;;1.265;1.265;1.265 - 1.265;67B.SG
MENZIES(JOHN) PLC 9% CUM PRF #1;GBp;;124.00;124.00;+0.00%;;+0.00;124.00;124.00;0.48;;;;;;;;0.00;+0.00;0.00;1.78;0.00;7.00;;;+0.00 - +0.00%;+0.00%;;GBp;124.00;124.00;124.00 - 124.00;;;;;;;0.00;;0.00;;0.48;;3/2/2017;124.00;;;;;;;;6/14/2017;124.00;;12:08pm;12:08pm - <b>124.00</b>;;;;;MENZIES(JOHN) PLC 9% CUM PRF #1;;;124.00;;0.00;;;+0.00%;+0.00%;+0.00%;+1.46%;+5.98%;124.00;;;;;;;0.00;LSE;68HN.L;;;122.22;9210;124.00;117.00;117.00 - 124.00;68HN.L
ZANAGA IRON ORE CO.LTD.;EUR;0.099;0.058;0.053;+9.434%;0.346;+0.005;0.058;0.058;-0.004;;;0.099;;;0.064;;0.153;+0.005;0.016;0.005;-0.084;0.034;;;+0.005 - +9.434%;+9.434%;;EUR;0.058;0.058;0.058 - 0.058;;;;;;;62500.00;;0.000;;-0.004;;;0.042;;;;;;;;11/1/2017;0.058;;8:00am;8:00am - <b>0.058</b>;;;15.95M;;ZANAGA IRON ORE CO.LTD.;;;0.058;;0.000;;;-59.155%;+9.434%;+38.946%;+9.098%;+141.667%;0.053;0.346;;;;;;0.000;FRA;6ZA.F;;;0.053;700;0.142;0.024;0.024 - 0.142;6ZA.F
