Name;Currency;Ask;Open;PreviousClose;PercentChange;PriceBook;Change;DaysHigh;DaysLow;EarningsShare;AfterHoursChangeRealtime;AnnualizedGain;Ask;AskRealtime;AverageDailyVolume;Bid;BidRealtime;BookValue;Change;ChangeFromFiftydayMovingAverage;ChangeFromTwoHundreddayMovingAverage;ChangeFromYearHigh;ChangeFromYearLow;ChangePercentRealtime;ChangeRealtime;Change_PercentChange;ChangeinPercent;Commission;Currency;DaysHigh;DaysLow;DaysRange;DaysRangeRealtime;DaysValueChange;DaysValueChangeRealtime;DividendPayDate;DividendShare;DividendYield;EBITDA;EPSEstimateCurrentYear;EPSEstimateNextQuarter;EPSEstimateNextYear;EarningsShare;ErrorIndicationreturnedforsymbolchangedinvalid;ExDividendDate;FiftydayMovingAverage;HighLimit;HoldingsGain;HoldingsGainPercent;HoldingsGainPercentRealtime;HoldingsGainRealtime;HoldingsValue;HoldingsValueRealtime;LastTradeDate;LastTradePriceOnly;LastTradeRealtimeWithTime;LastTradeTime;LastTradeWithTime;LowLimit;MarketCapRealtime;MarketCapitalization;MoreInfo;Name;Notes;OneyrTargetPrice;Open;OrderBookRealtime;PEGRatio;PERatio;PERatioRealtime;PercebtChangeFromYearHigh;PercentChange;PercentChangeFromFiftydayMovingAverage;PercentChangeFromTwoHundreddayMovingAverage;PercentChangeFromYearLow;PreviousClose;PriceBook;PriceEPSEstimateCurrentYear;PriceEPSEstimateNextYear;PricePaid;PriceSales;SharesOwned;ShortRatio;StockExchange;Symbol;TickerTrend;TradeDate;TwoHundreddayMovingAverage;Volume;YearHigh;YearLow;YearRange;symbol
ANGLESEY MINING PLC ORD 1P;GBp;3.500;3.110;3.250;-3.662%;47.101;-0.119;3.350;3.110;-0.200;;;3.500;;363929;3.000;;0.069;-0.119;-0.087;-0.640;-3.609;1.761;;;-0.119 - -3.662%;-3.662%;;GBp;3.350;3.110;3.110 - 3.350;;;;;;;0.00;-0.300;0.000;;-0.200;;;3.218;;;;;;;;11/1/2017;3.131;;2:15pm;2:15pm - <b>3.131</b>;;;5.56M;;ANGLESEY MINING PLC ORD 1P;;;3.110;;0.000;;;-53.546%;-3.662%;-2.691%;-16.967%;+128.540%;3.250;47.101;;;;;;0.000;LSE;AYM.L;;;3.771;124158;6.740;1.370;1.370 - 6.740;AYM.L
ASTRAZENECA PLC ORD SHS $0.25;GBp;5141.00;5070.00;5032.00;+2.15%;466.62;+108.00;5200.66;5044.00;304.90;;;5141.00;;2300740;5139.00;;10.78;+108.00;135.62;211.69;-380.00;1144.00;;;+108.00 - +2.15%;+2.15%;;GBp;5200.66;5044.00;5044.00 - 5200.66;;;;;2.79;4.51;5.91B;3.76;0.83;;304.90;;8/10/2017;5004.38;;;;;;;;11/1/2017;5140.00;;2:58pm;2:58pm - <b>5140.00</b>;;;65.07B;;ASTRAZENECA PLC ORD SHS $0.25;;;5070.00;;4.68;16.86;;-6.88%;+2.15%;+2.71%;+4.30%;+28.63%;5032.00;466.62;1367.02;1378.02;;293.03;;0.00;LSE;AZN.L;;;4928.31;1801518;5520.00;3996.00;3996.00 - 5520.00;AZN.L
Barnes Group, Inc.;USD;64.41;65.70;65.09;-1.15%;2.69;-0.75;65.70;64.19;2.86;;;64.41;;260423;64.30;;24.16;-0.75;-5.19;3.24;-8.53;26.39;;;-0.75 - -1.15%;-1.15%;;USD;65.70;64.19;64.19 - 65.70;;;;12/8/2017;0.56;0.84;305.46M;2.87;0.69;3.06;2.86;;8/22/2017;69.53;;;;;;;;11/1/2017;64.34;;11:03am;11:03am - <b>64.34</b>;;;3.46B;;Barnes Group, Inc.;;67.86;65.70;;2.06;22.50;;-11.71%;-1.15%;-7.46%;+5.31%;+69.54%;65.09;2.69;22.42;21.03;;2.61;;2.71;NYQ;B;;;61.10;40874;72.87;37.95;37.95 - 72.87;B
BIOPHARMA CREDIT DL -,01;EUR;0.959;0.909;0.913;-0.438%;;-0.004;0.909;0.909;;;;0.959;;;0.912;;0.000;-0.004;0.909;0.909;0.000;0.000;;;-0.004 - -0.438%;-0.438%;;EUR;0.909;0.909;0.909 - 0.909;;;;;;;0.00;;0.000;;;;;0.000;;;;;;;;11/1/2017;0.909;;8:01am;8:01am - <b>0.909</b>;;;;;BIOPHARMA CREDIT DL -,01;;;0.909;;0.000;;;+0.000%;-0.438%;+inf%;+inf%;+0.000%;0.913;;;;;;;0.000;MUN;B3P.MU;;;0.000;;0.909;0.909;0.909 - 0.909;B3P.MU
BERKELEY ENERGIA LTD.;EUR;0.520;0.502;0.511;-1.761%;3.500;-0.009;0.502;0.502;-0.053;;;0.520;;8463;0.504;;0.146;-0.009;-0.026;-0.021;-0.348;0.044;;;-0.009 - -1.761%;-1.761%;;EUR;0.502;0.502;0.502 - 0.502;;;;;;;-12.15M;;0.000;;-0.053;;;0.528;;;;;;;;11/1/2017;0.502;;9:06am;9:06am - <b>0.502</b>;;;127.77M;;BERKELEY ENERGIA LTD.;;;0.502;;0.000;;;-40.941%;-1.761%;-4.893%;-3.967%;+9.607%;0.511;3.500;;;;366.249;;0.000;FRA;B5R.F;;;0.523;17800;0.850;0.458;0.458 - 0.850;B5R.F
BAE SYSTEMS PLC ORD 2.5P;GBp;584.00;595.50;593.50;-1.60%;545.50;-9.50;597.50;583.86;33.30;;;584.00;;9137520;583.50;;1.09;-9.50;-27.64;-38.88;-98.50;52.00;;;-9.50 - -1.60%;-1.60%;;GBp;597.50;583.86;583.86 - 597.50;;;;;0.23;2.96;1.92B;43.30;0.00;;33.30;;10/19/2017;611.64;;;;;;;;11/1/2017;584.00;;2:58pm;2:58pm - <b>584.00</b>;;;18.57B;;BAE SYSTEMS PLC ORD 2.5P;;;595.50;;2.93;17.54;;-14.43%;-1.60%;-4.52%;-6.24%;+9.77%;593.50;545.50;13.49;13.05;;101.85;;0.00;LSE;BA.L;;;622.88;5846438;682.50;532.00;532.00 - 682.50;BA.L
BABCOCK INTERNATIONAL GROUP PLC;GBp;804.50;813.00;812.00;-0.94%;153.64;-7.60;815.00;803.90;61.70;;;804.50;;1470950;804.00;;5.28;-7.60;-18.90;-58.94;-225.60;9.90;;;-7.60 - -0.94%;-0.94%;;GBp;815.00;803.90;803.90 - 815.00;;;;;0.36;3.40;548.30M;83.12;0.00;;61.70;;6/29/2017;823.30;;;;;;;;11/1/2017;804.40;;2:56pm;2:56pm - <b>804.40</b>;;;4.06B;;BABCOCK INTERNATIONAL GROUP PLC;;;813.00;;1.57;13.04;;-21.90%;-0.94%;-2.30%;-6.83%;+1.25%;812.00;153.64;9.68;9.09;;90.20;;0.00;LSE;BAB.L;;;863.34;2022105;1030.00;794.50;794.50 - 1030.00;BAB.L
Bank of America Corporation;USD;27.560;27.640;27.390;+0.595%;1.145;+0.163;27.730;27.490;1.747;;;27.560;;64853600;27.550;;23.919;+0.163;1.676;3.278;-0.427;11.273;;;+0.163 - +0.595%;+0.595%;;USD;27.730;27.490;27.490 - 27.730;;;;12/29/2017;0.480;1.740;0.00;1.820;0.470;2.170;1.747;;8/30/2017;25.877;;;;;;;;11/1/2017;27.553;;11:02am;11:02am - <b>27.553</b>;;;289.76B;;Bank of America Corporation;;28.120;27.640;;1.350;15.772;;-1.526%;+0.595%;+6.478%;+13.503%;+69.244%;27.390;1.145;15.139;12.697;;3.440;;1.380;NYQ;BAC;;;24.275;16927235;27.980;16.280;16.280 - 27.980;BAC
BAGIR GROUP LTD. ORD ILS0.04 (D;GBp;2.000;1.812;1.875;-3.360%;31.250;-0.063;1.812;1.812;5.000;;;2.000;;161592;1.750;;0.060;-0.063;-0.184;-1.458;-4.688;0.187;;;-0.063 - -3.360%;-3.360%;;GBp;1.812;1.812;1.812 - 1.812;;;;;;;1.88M;0.000;0.000;;5.000;;;1.996;;;;;;;;11/1/2017;1.812;;2:58pm;2:58pm - <b>1.812</b>;;;5.63M;;BAGIR GROUP LTD. ORD ILS0.04 (D;;;1.812;;0.000;0.362;;-72.123%;-3.360%;-9.216%;-44.583%;+11.508%;1.875;31.250;;;;9.926;;0.000;LSE;BAGR.L;;;3.270;52174;6.500;1.625;1.625 - 6.500;BAGR.L
BARCLAYS PLC ORD 25P;GBp;183.90;186.05;185.95;-1.10%;49.65;-2.05;186.91;183.70;-3.20;;;183.90;;38423300;183.85;;3.74;-2.05;-6.44;-17.55;-83.42;8.44;;;-2.05 - -1.10%;-1.10%;;GBp;186.91;183.70;183.70 - 186.91;;;;;0.03;1.06;0.00;17.70;5.87;;-3.20;;8/10/2017;190.34;;;;;;;;11/1/2017;183.90;;2:59pm;2:59pm - <b>183.90</b>;;;31.36B;;BARCLAYS PLC ORD 25P;;;186.05;;0.43;;;-31.21%;-1.10%;-3.38%;-8.71%;+4.81%;185.95;49.65;10.39;8.47;;160.07;;0.00;LSE;BARC.L;;;201.45;32999934;267.32;175.46;175.46 - 267.32;BARC.L
BRITISH AMERICAN TOBACCO PLC OR;GBp;4900.50;4871.00;4871.00;+0.60%;1172.89;+29.00;4912.00;4857.50;227.20;;;4900.50;;3549170;4899.50;;4.15;+29.00;121.61;-206.80;-743.60;663.00;;;+29.00 - +0.60%;+0.60%;;GBp;4912.00;4857.50;4857.50 - 4912.00;;;;;2.16;3.40;6.24B;280.12;0.00;;227.20;;8/17/2017;4778.39;;;;;;;;11/1/2017;4900.00;;3:00pm;3:00pm - <b>4900.00</b>;;;91.04B;;BRITISH AMERICAN TOBACCO PLC OR;;;4871.00;;1.76;21.57;;-13.18%;+0.60%;+2.54%;-4.05%;+15.65%;4871.00;1172.89;17.49;15.82;;572.84;;0.00;LSE;BATS.L;;;5106.80;3339237;5643.60;4237.00;4237.00 - 5643.60;BATS.L
BBA AVIATION PLC ORD 29 16/21P;GBp;323.70;320.00;318.20;+1.70%;173.60;+5.40;324.30;317.45;19.40;;;323.70;;1562720;323.40;;1.83;+5.40;18.64;16.54;-0.90;81.80;;;+5.40 - +1.70%;+1.70%;;GBp;324.30;317.45;317.45 - 324.30;;;;;0.13;3.32;424.30M;0.23;0.00;;19.40;;9/14/2017;304.96;;;;;;;;11/1/2017;323.60;;3:03pm;3:03pm - <b>323.60</b>;;;3.32B;;BBA AVIATION PLC ORD 29 16/21P;;;320.00;;0.00;16.68;;-0.28%;+1.70%;+6.11%;+5.39%;+33.83%;318.20;173.60;;;;143.78;;0.00;LSE;BBA.L;;;307.06;1397143;324.50;241.80;241.80 - 324.50;BBA.L
BBGI SICAV S.A. ORD NPV (DI);GBp;142.7500;143.0990;142.5000;-0.1316%;111.5023;-0.1875;143.0990;141.8725;13.1000;;;142.7500;;2200;142.2500;;1.2780;-0.1875;141.0560;141.0747;-10.1875;8.3125;;;-0.1875 - -0.1316%;-0.1316%;;GBp;143.0990;141.8725;141.8725 - 143.0990;;;;;;;65.32M;11.7000;0.0000;;13.1000;;;1.2565;;;;;;;;11/1/2017;142.3125;;2:59pm;2:59pm - <b>142.3125</b>;;;679.32M;;BBGI SICAV S.A. ORD NPV (DI);;;143.0990;;0.0000;10.8635;;-6.6803%;-0.1316%;+11226.0137%;+11397.1191%;+6.2034%;142.5000;111.5023;;;;908.6312;;0.0000;LSE;BBGI.L;;;1.2378;153289;152.5000;134.0000;134.0000 - 152.5000;BBGI.L
Tritax Big Box;GBp;148.00;146.90;147.30;+0.41%;111.25;+0.61;148.30;146.60;11.20;;;148.00;;101195;147.80;;1.32;+0.61;146.59;146.61;-3.49;43.21;;;+0.61 - +0.41%;+0.41%;;GBp;148.30;146.60;146.60 - 148.30;;;;;;;0.00;6.80;0.00;;11.20;;7/20/2017;1.32;;;;;;;;11/1/2017;147.91;;3:00pm;3:00pm - <b>147.91</b>;;;2.02B;;Tritax Big Box;;;146.90;;0.00;13.21;;-2.31%;+0.41%;+11135.35%;+11262.05%;+41.27%;147.30;111.25;;;;2098.72;;0.00;LSE;BBOX.L;;;1.30;1984958;151.40;104.70;104.70 - 151.40;BBOX.L
BRAVE BISON GROUP PLC ORD 0.1P;GBp;0.900;0.845;0.825;+2.424%;26.613;+0.020;0.845;0.845;-0.800;;;0.900;;612459;0.800;;0.031;+0.020;-0.257;-0.378;-3.905;0.045;;;+0.020 - +2.424%;+2.424%;;GBp;0.845;0.845;0.845 - 0.845;;;;;;;-2.16M;;0.000;;-0.800;;;1.102;;;;;;;;11/1/2017;0.845;;10:22am;10:22am - <b>0.845</b>;;;4.83M;;BRAVE BISON GROUP PLC ORD 0.1P;;;0.845;;0.000;;;-82.211%;+2.424%;-23.323%;-30.886%;+5.625%;0.825;26.613;;;;33.639;;0.000;LSE;BBSN.L;;;1.223;380000;4.750;0.800;0.800 - 4.750;BBSN.L
BALFOUR BEATTY PLC ORD 50P;GBp;279.00;276.30;274.00;+1.79%;260.21;+4.90;279.40;274.70;7.90;;;279.00;;2086170;278.80;;1.05;+4.90;12.76;6.71;-20.40;26.40;;;+4.90 - +1.79%;+1.79%;;GBp;279.40;274.70;274.70 - 279.40;;;;;0.04;1.13;58.00M;11.83;0.00;;7.90;;10/5/2017;266.14;;;;;;;;11/1/2017;278.90;;3:01pm;3:01pm - <b>278.90</b>;;;1.90B;;BALFOUR BEATTY PLC ORD 50P;;;276.30;;0.00;35.30;;-6.82%;+1.79%;+4.80%;+2.47%;+10.46%;274.00;260.21;;;;26.08;;0.00;LSE;BBY.L;;;272.19;1619724;299.30;252.50;252.50 - 299.30;BBY.L
ASHPOL PLC 10% CUM PRF #1;GBp;;;;+0.00%;;+0.00;;;;;;;;;;;0.00;+0.00;;;;;;;+0.00 - +0.00%;+0.00%;;GBp;;;;;;;;;;0.00;;0.00;;;;;5.00;;;;;;;;;;;;;;;;;ASHPOL PLC 10% CUM PRF #1;;;;;0.00;;;;+0.00%;;;;;;;;;;;0.00;LSE;BC24.L;;;5.00;;5.00;5.00;5.00 - 5.00;BC24.L
CARIBBEAN INV HLDG;USD;;0.09;0.09;+0.00%;0.16;+0.00;;;-0.02;;;;;483;;;0.55;+0.00;-0.01;-0.05;-0.18;0.01;;;+0.00 - +0.00%;+0.00%;;USD;;;;;;;;0.00;0.00;0.00;;0.00;;-0.02;;2/16/2006;0.10;;;;;;;;10/18/2017;0.09;;12:30pm;12:30pm - <b>0.09</b>;;;8.99M;;CARIBBEAN INV HLDG;;;0.09;;0.00;;;-66.67%;+0.00%;-9.50%;-35.71%;+12.50%;0.09;0.16;;;;0.33;;0.00;PNK;BCBHF;;;0.14;;0.27;0.08;0.08 - 0.27;BCBHF
BACANORA MINERALS LTD COM SHS N;GBp;82.00;82.00;82.00;+0.00%;215.79;+0.00;82.00;81.25;-6.50;;;82.00;;341486;81.00;;0.38;+0.00;1.78;-1.46;-14.00;21.00;;;+0.00 - +0.00%;+0.00%;;GBp;82.00;81.25;81.25 - 82.00;;;;;;;-7.19M;;0.00;;-6.50;;;80.22;;;;;;;;11/1/2017;82.00;;2:14pm;2:14pm - <b>82.00</b>;;;108.16M;;BACANORA MINERALS LTD COM SHS N;;;82.00;;0.00;;;-14.58%;+0.00%;+2.22%;-1.74%;+34.43%;82.00;215.79;;;;;;0.00;LSE;BCN.L;;;83.46;374297;96.00;61.00;61.00 - 96.00;BCN.L
BOEING CO. Registered Shares DL;EUR;221.59;221.68;222.32;-0.26%;;-0.57;222.11;221.68;;;;221.59;;97;221.09;;0.00;-0.57;4.85;31.75;-4.80;99.25;;;-0.57 - -0.26%;-0.26%;;EUR;222.11;221.68;221.68 - 222.11;;;;;;;0.00;;0.00;;;;8/9/2017;216.90;;;;;;;;11/1/2017;221.75;;3:11pm;3:11pm - <b>221.75</b>;;;;;BOEING CO. Registered Shares DL;;;221.68;;0.00;;;-2.12%;-0.26%;+2.24%;+16.71%;+81.02%;222.32;;;;;;;0.00;STU;BCO.SG;;;190.00;15;226.55;122.50;122.50 - 226.55;BCO.SG
BARRATT DEVELOPMENTS PLC ORD 10;GBp;661.50;657.00;654.50;+0.99%;152.78;+6.50;662.50;654.50;60.70;;;661.50;;5130530;661.00;;4.28;+6.50;21.19;53.96;-44.50;223.84;;;+6.50 - +0.99%;+0.99%;;GBp;662.50;654.50;654.50 - 662.50;;;;;0.37;4.76;812.50M;63.96;0.00;;60.70;;10/26/2017;639.81;;;;;;;;11/1/2017;661.00;;3:01pm;3:01pm - <b>661.00</b>;;;6.65B;;BARRATT DEVELOPMENTS PLC ORD 10;;;657.00;;1.56;10.89;;-6.31%;+0.99%;+3.31%;+8.89%;+51.20%;654.50;152.78;10.33;9.81;;141.69;;0.00;LSE;BDEV.L;;;607.04;4494598;705.50;437.16;437.16 - 705.50;BDEV.L
Baring Emerging Europe Ord;GBp;798.50;789.92;785.00;+0.68%;;+5.31;797.56;789.92;232.20;;;798.50;;108;790.00;;0.00;+5.31;781.57;781.86;-7.25;173.31;;;+5.31 - +0.68%;+0.68%;;GBp;797.56;789.92;789.92 - 797.56;;;;;;;0.00;nan;0.00;;232.20;;1/19/2017;8.74;;;;;;;;11/1/2017;790.31;;2:42pm;2:42pm - <b>790.31</b>;;;;;Baring Emerging Europe Ord;;;789.92;;0.00;;;-0.91%;+0.68%;+8942.31%;+9256.55%;+28.09%;785.00;;;;;;;0.00;LSE;BEE.L;;;8.45;3827;797.56;617.00;617.00 - 797.56;BEE.L
BlackRock Emerging Europe plc;GBp;351.00;351.00;349.75;+0.36%;;+1.25;351.00;349.35;118.80;;;351.00;;4664;348.00;;0.00;+1.25;347.45;347.53;-5.88;91.00;;;+1.25 - +0.36%;+0.36%;;GBp;351.00;349.35;349.35 - 351.00;;;;;;;0.00;;0.00;;118.80;;5/18/2017;3.55;;;;;;;;11/1/2017;351.00;;2:12pm;2:12pm - <b>351.00</b>;;;126.07M;;BlackRock Emerging Europe plc;;;351.00;;0.00;;;-1.65%;+0.36%;+9783.34%;+10019.97%;+35.00%;349.75;;;;;;;0.00;LSE;BEEP.L;;;3.47;10415;356.88;260.00;260.00 - 356.88;BEEP.L
BEGBIES TRAYNOR GROUP PLC ORD 5;GBp;68.00;62.00;62.75;+7.55%;115.35;+4.74;67.49;62.00;-0.20;;;68.00;;68436;67.00;;0.54;+4.74;2.88;10.77;-0.51;22.74;;;+4.74 - +7.55%;+7.55%;;GBp;67.49;62.00;62.00 - 67.49;;;;;;;6.06M;3.30;0.00;;-0.20;;10/12/2017;64.61;;;;;;;;11/1/2017;67.49;;2:00pm;2:00pm - <b>67.49</b>;;;72.01M;;BEGBIES TRAYNOR GROUP PLC ORD 5;;;62.00;;0.00;;;-0.75%;+7.55%;+4.46%;+18.98%;+50.82%;62.75;115.35;;;;134.76;;0.00;LSE;BEG.L;;;56.72;194363;68.00;44.75;44.75 - 68.00;BEG.L
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BELVOI.L;;;;;;;;BELVOI.L
BEOWULF MINING PLC ORD 1P;GBp;7.75;7.25;7.50;-3.33%;394.74;-0.25;7.60;7.25;-0.20;;;7.75;;290236;7.25;;0.02;-0.25;-0.67;-0.93;-9.95;2.75;;;-0.25 - -3.33%;-3.33%;;GBp;7.60;7.25;7.25 - 7.60;;;;;;;-757399.00;nan;0.00;;-0.20;;;7.92;;;;;;;;11/1/2017;7.25;;1:59pm;1:59pm - <b>7.25</b>;;;38.11M;;BEOWULF MINING PLC ORD 1P;;;7.25;;0.00;;;-57.85%;-3.33%;-8.41%;-11.36%;+61.11%;7.50;394.74;;;;;;0.00;LSE;BEM.L;;;8.18;93043;17.20;4.50;4.50 - 17.20;BEM.L
BEAZLEY PLC ORD 5P;GBp;512.00;508.00;505.50;+1.29%;174.79;+6.50;513.00;507.00;47.60;;;512.00;;1510430;511.50;;2.89;+6.50;31.36;29.55;-15.50;160.32;;;+6.50 - +1.29%;+1.29%;;GBp;513.00;507.00;507.00 - 513.00;;;;;0.10;1.46;338.40M;21.61;0.00;;47.60;;8/3/2017;480.64;;;;;;;;11/1/2017;512.00;;2:58pm;2:58pm - <b>512.00</b>;;;2.67B;;BEAZLEY PLC ORD 5P;;;508.00;;19.56;10.76;;-2.94%;+1.29%;+6.53%;+6.13%;+45.59%;505.50;174.79;23.69;15.74;;135.96;;0.00;LSE;BEZ.L;;;482.45;411009;527.50;351.68;351.68 - 527.50;BEZ.L
BASF SE;USD;;111.19;109.70;+1.36%;2.65;+1.49;111.19;111.19;6.25;;;;;369;;;41.39;+1.49;6.24;13.35;0.00;27.67;;;+1.49 - +1.36%;+1.36%;;USD;111.19;111.19;111.19 - 111.19;;;;;3.33;3.09;13.40B;;0.00;;6.25;;5/15/2017;104.95;;;;;;;;11/1/2017;111.19;;9:30am;9:30am - <b>111.19</b>;;;102.13B;;BASF SE;;;111.19;;0.00;17.80;;+0.00%;+1.36%;+5.95%;+13.65%;+33.12%;109.70;2.65;;;;1.35;;0.00;PNK;BFFAF;;;97.84;100;111.19;83.53;83.53 - 111.19;BFFAF
BGEO GROUP PLC ORD 1P;GBp;3553.00;3550.00;3560.00;-0.22%;;-8.00;3574.00;3547.00;;;;3553.00;;54672;3548.00;;0.00;-8.00;195.89;49.18;-229.00;828.00;;;-8.00 - -0.22%;-0.22%;;GBp;3574.00;3547.00;3547.00 - 3574.00;;;;;1.10;2.43;0.00;10.48;0.00;;;;6/22/2017;3356.11;;;;;;;;11/1/2017;3552.00;;3:02pm;3:02pm - <b>3552.00</b>;;;1.34B;;BGEO GROUP PLC ORD 1P;;;3550.00;;0.00;;;-6.06%;-0.22%;+5.84%;+1.40%;+30.40%;3560.00;;;302.56;;;;0.00;LSE;BGEO.L;;;3502.82;19865;3781.00;2724.00;2724.00 - 3781.00;BGEO.L
Baillie Gifford Japan Ord;GBp;809.500;791.611;789.000;+2.593%;;+20.455;814.000;790.640;179.100;;;809.500;;15702;809.000;;0.000;+20.455;802.467;802.860;-4.545;270.320;;;+20.455 - +2.593%;+2.593%;;GBp;814.000;790.640;790.640 - 814.000;;;;;;;0.00;nan;0.000;;179.100;;;6.988;;;;;;;;11/1/2017;809.455;;3:00pm;3:00pm - <b>809.455</b>;;;;;Baillie Gifford Japan Ord;;;791.611;;0.000;;;-0.558%;+2.593%;+11483.650%;+12174.605%;+50.140%;789.000;;;;;;;0.000;LSE;BGFD.L;;;6.595;119543;814.000;539.135;539.135 - 814.000;BGFD.L
BOUSSARD & GAVAUDAN HOLDING LIM;GBp;1850.00;1712.18;1757.50;+0.00%;;+0.00;1712.18;1712.18;148.10;;;1850.00;;3;1665.00;;0.00;+0.00;1736.71;1736.72;-92.50;247.50;;;+0.00 - +0.00%;+0.00%;;GBp;1712.18;1712.18;1712.18 - 1712.18;;;;;;;0.00;;0.00;;148.10;;;20.79;;;;;;;;10/31/2017;1757.50;;4:30pm;4:30pm - <b>1757.50</b>;;;;;BOUSSARD & GAVAUDAN HOLDING LIM;;;1712.18;;0.00;;;-5.00%;+0.00%;+8354.68%;+8356.76%;+16.39%;1757.50;;;;;;;0.00;LSE;BGHS.L;;;20.78;186;1850.00;1510.00;1510.00 - 1850.00;BGHS.L
BANGO PLC ORD 20P;GBp;226.00;226.30;221.00;+1.72%;1270.11;+3.80;228.95;217.67;-5.40;;;226.00;;104674;220.00;;0.17;+3.80;-18.46;25.91;-55.20;159.80;;;+3.80 - +1.72%;+1.72%;;GBp;228.95;217.67;217.67 - 228.95;;;;;;;-3.11M;-3.60;0.00;;-5.40;;;243.26;;;;;;;;11/1/2017;224.80;;2:59pm;2:59pm - <b>224.80</b>;;;146.89M;;BANGO PLC ORD 20P;;;226.30;;0.00;;;-19.71%;+1.72%;-7.59%;+13.03%;+245.85%;221.00;1270.11;;;;4143.07;;0.00;LSE;BGO.L;;;198.89;180601;280.00;65.00;65.00 - 280.00;BGO.L
Baillie Gifford Shin Nippon Or;GBp;812.00000;813.00000;805.00000;+0.66667%;;+5.36670;819.50000;803.86499;143.10001;;;812.00000;;11170;805.50000;;0.00000;+5.36670;803.17798;803.57086;-9.13330;269.55170;;;+5.36670 - +0.66667%;+0.66667%;;GBp;819.50000;803.86499;803.86499 - 819.50000;;;;;;;0.00;nan;0.00000;;143.10001;;;7.18869;;;;;;;;11/1/2017;810.36670;;3:00pm;3:00pm - <b>810.36670</b>;;;;;Baillie Gifford Shin Nippon Or;;;813.00000;;0.00000;;;-1.11450%;+0.66667%;+11172.79980%;+11824.50391%;+49.84176%;805.00000;;;;;;;0.00000;LSE;BGS.L;;;6.79581;113988;819.50000;540.81500;540.81500 - 819.50000;BGS.L
BH GLOBAL LIMITED ORD NPV GBP;GBp;1339.00;1333.00;1344.00;-0.82%;;-11.00;1342.90;1333.00;-215.30;;;1339.00;;35886;1333.00;;0.00;-11.00;1319.55;1319.91;-41.00;153.00;;;-11.00 - -0.82%;-0.82%;;GBp;1342.90;1333.00;1333.00 - 1342.90;;;;;;;0.00;nan;0.00;;-215.30;;;13.45;;;;;;;;11/1/2017;1333.00;;2:47pm;2:47pm - <b>1333.00</b>;;;;;BH GLOBAL LIMITED ORD NPV GBP;;;1333.00;;0.00;;;-2.98%;-0.82%;+9812.03%;+10085.29%;+12.97%;1344.00;;;;;;;0.00;LSE;BHGG.L;;;13.09;14701;1374.00;1180.00;1180.00 - 1374.00;BHGG.L
BH MACRO LIMITED ORD NPV (GBP);GBp;1952.00;1940.44;1940.00;+0.03%;;+0.60;1951.66;1935.00;-443.70;;;1952.00;;661;1936.00;;0.00;+0.60;1918.94;1918.86;-219.40;70.60;;;+0.60 - +0.03%;+0.03%;;GBp;1951.66;1935.00;1935.00 - 1951.66;;;;;;;0.00;;0.00;;-443.70;;;21.66;;;;;;;;11/1/2017;1940.60;;2:36pm;2:36pm - <b>1940.60</b>;;;;;BH MACRO LIMITED ORD NPV (GBP);;;1940.44;;0.00;;;-10.16%;+0.03%;+8859.75%;+8828.33%;+3.78%;1940.00;;;;;;;0.00;LSE;BHMG.L;;;21.74;15496;2160.00;1870.00;1870.00 - 2160.00;BHMG.L
BE HEARD GROUP PLC ORD GBP0.01;GBp;3.000;2.995;2.975;+0.672%;123.958;+0.020;2.995;2.995;-0.400;;;3.000;;1101230;2.950;;0.024;+0.020;-0.051;-0.291;-1.195;0.245;;;+0.020 - +0.672%;+0.672%;;GBp;2.995;2.995;2.995 - 2.995;;;;;;;-1.35M;;0.000;;-0.400;;;3.046;;;;;;;;11/1/2017;2.995;;1:56pm;1:56pm - <b>2.995</b>;;;24.35M;;BE HEARD GROUP PLC ORD GBP0.01;;;2.995;;0.000;;;-28.520%;+0.672%;-1.673%;-8.868%;+8.909%;2.975;123.958;;;;80.227;;0.000;LSE;BHRD.L;;;3.286;19865;4.190;2.750;2.750 - 4.190;BHRD.L
BOOT (HENRY) PLC ORD 10P;GBp;;240.00;233.25;+0.75%;;+1.75;240.00;235.00;21.30;;;;;72453;;;0.00;+1.75;5.30;25.87;-8.80;73.76;;;+1.75 - +0.75%;+0.75%;;GBp;240.00;235.00;235.00 - 240.00;;;;;;;0.00;22.30;0.00;;21.30;;9/22/2016;229.70;;;;;;;;4/12/2017;235.00;;3:35pm;3:35pm - <b>235.00</b>;;;;;BOOT (HENRY) PLC ORD 10P;;;240.00;;0.00;;;-3.61%;+0.75%;+2.31%;+12.37%;+45.75%;233.25;;;;;;;0.00;LSE;BHY.L;;;209.13;36847;243.80;161.24;161.24 - 243.80;BHY.L
